"taxparcelnumber","location_value"
"7850001061","Low"
"7850001070","Low"
"7850001129","Low"
"7850001160","Low"
"7850001221","Low"
"7850001223","Low"
"7850100070","Low"
"7850100110","Low"
"7855900250","Other"
"7855903830","Other"
"7860000360","Low"
"7860000380","Low"
"7862000140","Other"
"7865000010","Other"
"7865000100","Other"
"7865000150","Other"
"7865000210","Other"
"7865000230","Other"
"7865000260","Other"
"7865000310","Other"
"7865000330","Other"
"7865000380","Other"
"7865000431","Other"
"7865000470","Other"
"7865000610","Other"
"7865000630","Low"
"7865000690","Low"
"7865000740","Other"
"7865000750","Other"
"7865000800","Other"
"7865000910","Other"
"7865000970","Other"
"7867000010","High"
"7867000030","High"
"7867000120","Other"
"7867000140","High"
"7867000150","High"
"7867000160","High"
"7867010010","High"
"7867010030","High"
"7867010050","High"
"7867010100","High"
"7867010110","High"
"7868000070","High"
"7870000111","Low"
"7870000201","Low"
"7870000211","Low"
"7870000234","Low"
"7875000020","Other"
"7875000078","Other"
"7880000090","Other"
"7880000140","Other"
"7882200972","Other"
"7882220090","Other"
"7885000030","High"
"7885000040","High"
"7885000100","High"
"7885000110","High"
"7890570070","Other"
"7900000030","Low"
"7909000030","Low"
"7909000150","Low"
"7909000170","Low"
"7909000180","Low"
"7909000190","High"
"7909000200","Low"
"7909000220","Low"
"7909000230","Low"
"7909000250","Low"
"7909020020","Low"
"7909020040","Low"
"7909020080","Low"
"7909500200","Low"
"7915000030","Other"
"7915000111","Other"
"7915000122","High"
"7915000130","Other"
"7915000142","Other"
"7915000153","Other"
"7915000156","Other"
"7915000167","Other"
"7915000194","Other"
"7915000200","Other"
"7915000203","Low"
"7915000220","Other"
"7915000230","Other"
"7915000290","Other"
"7915000310","Other"
"7915000323","Other"
"7915000346","Other"
"7915000347","Other"
"7915000372","Other"
"7915000391","Other"
"7915000392","Other"
"7915000422","Other"
"7915000427","Other"
"7915000437","Other"
"7915000444","Other"
"7915000464","Other"
"7915000473","Other"
"7915000474","Other"
"7915000477","Other"
"7915000531","Other"
"7915000590","Other"
"7915000710","Other"
"7915000744","Other"
"7915000746","Other"
"7915000771","Low"
"7915000803","Other"
"7915000820","Other"
"7915000841","Other"
"7915000881","Other"
"7930000102","Low"
"7930000103","Low"
"7935000011","Low"
"7935000030","Low"
"7935000070","Low"
"7935000120","Low"
"7935000150","Low"
"7935000170","Low"
"7935000180","Low"
"7935000191","Low"
"7935000290","Low"
"7935200080","Other"
